Player,Min,Sh,Ast,Gls
Artem Dovbyk,2418,61,2,12
Flynn Downes,2151,10,0,1
Tommy Doyle,488,9,1,0
Radu Drăgușin,1252,5,0,0
Patrick Drewes,1890,0,0,0
Tim Drexler,357,2,0,0
Domingos Duarte,1859,3,0,1
Martin Dúbravka,900,0,0,0
Marvin Ducksch,2418,70,8,8
Ondrej Duda,2395,25,3,1
Duk,179,2,0,0
Denzel Dumfries,1865,36,2,7
Alfred Duncan,957,15,0,0
Lewis Dunk,2083,12,0,0
Jáder Durán,638,31,0,7
Pablo Durán,1394,26,4,4
Julien Duranville,283,5,0,0
Hugo Duro,2166,48,2,11
Jean-Kevin Duverne,537,4,0,0
Paulo Dybala,1417,47,3,6
Stefan Džodić,242,3,0,0
Adam Dźwigała,373,6,0,0
Aron Dønnum,2689,31,2,2
Enzo Ebosse,90,0,0,0
Tyronne Ebuehi,74,0,0,0
Claudio Echeverri,6,0,0,0
Ederson,2320,0,4,0
Éderson,2881,39,1,4
Noah Edjouma,171,5,0,2
George Edmundson,2,0,0,0
Odsonne Édouard,115,5,0,0
Odsonne Édouard,29,0,0,0
Samuel Edozie,65,0,0,0
Ronnie Edwards,12,0,0,0
Johannes Eggestein,1853,34,4,3
Maximilian Eggestein,2845,36,0,2
Kingsley Ehizibue,2498,14,1,0
Chidera Ejuke,966,20,1,2
Jeff Ekhator,769,10,1,1
Hugo Ekitike,2563,114,8,15
Jurgen Ekkelenkamp,1892,27,2,3
Jacques Ekomie,697,1,0,0
Emmanuel Ekong,186,4,0,0
Caleb Ekuban,555,18,3,1
Pierre Ekwah Elimby,2575,25,0,1
Anthony Elanga,2501,44,11,6
Meschak Elia,170,5,0,1
Mikael Ellertsson,2470,21,2,2
Harvey Elliott,371,17,2,1
Elif Elmas,1021,19,0,4
Elif Elmas,44,2,0,0
Aritz Elustondo,1457,4,0,0
Nico Elvedi,2135,12,1,1
Adri Embarba,1607,37,1,1
Breel Embolo,1841,51,4,6
Emanuel Emegha,2293,61,3,14
Emerson,1377,10,0,0
Yunus Emre Konak,42,1,0,0
Julio Enciso,869,32,3,2
Julio Enciso,294,20,0,0
Wataru Endo,273,0,0,0
Endrick,363,24,0,1
Yannik Engelhardt,1164,8,1,1
Arne Engels,79,3,0,0
Christian Eriksen,1061,14,2,1
Martin Erlic,334,6,0,0
Patrick Erras,832,8,0,1
Alfonso Espino,833,10,1,0
Sebastiano Esposito,2331,59,0,8
Romain Esse,138,1,1,1
Samuel Essende,1636,44,2,7
Dario Essugo,1938,23,0,1
Estanis,9,2,0,0
Nahuel Estévez,657,5,0,0
Pervis Estupiñán,2402,28,1,1
Etienne Eto'o,40,0,0,0
Karl Etta,37,2,0,1
Evanilson,2319,72,1,10
Jake Evans,24,0,0,0
Jonny Evans,315,2,0,0
Edu Expósito,1045,18,2,0
Eberechi Eze,2588,100,8,8
Abde Ezzalzouli,1984,61,2,2
Giovanni Fabbian,1023,21,1,3
Łukasz Fabiański,1160,0,0,0
Alieu Fadera,1644,28,3,1
Wout Faes,2815,12,0,1
Nicolò Fagioli,962,10,2,1
Nicolò Fagioli,571,12,0,0
Romain Faivre,899,18,2,3
Wladimiro Falcone,3420,0,0,0
Davide Faraoni,260,1,0,0
Abdul Fatawu Issahaku,579,13,2,0
Ansu Fati,233,12,0,0
Khalil Fayad,1028,17,0,0
Jacopo Fazzini,1383,27,1,4
Nabil Fekir,180,7,1,0
Mattia Felici,925,10,3,0
Luiz Felipe,122,0,0,0
João Félix,369,20,1,1
João Félix,760,29,0,2
Frank Feller,121,0,0,0
Kiko Femenía,2227,3,1,0
Evan Ferguson,156,5,0,0
Evan Ferguson,246,7,0,1
Lewis Ferguson,983,5,1,1
Zinedine Ferhat,849,12,0,2
Bruno Fernandes,3018,93,10,8
Edimilson Fernandes,1105,10,1,0
Mateus Fernandes,2909,42,4,2
Aitor Fernández,90,0,0,0
Álvaro Fernández,747,0,0,0
Enzo Fernández,2947,53,7,6
Pelayo Fernandez,98,0,0,0
Roberto Férnandez,1497,21,0,6
Valery Fernández,309,3,0,2
Matias Fernandez-Pardo,1065,23,2,4
André Ferreira,540,0,0,0
Jordan Ferri,1773,14,2,0
Daniel Fila,492,8,0,2
Karol Fila,5,0,0,0
Kilian Fischer,2297,6,0,1
Mark Flekken,3275,0,2,0
Alessandro Florenzi,5,0,0,0
Mateo Flores,153,0,0,0
Phil Foden,1777,54,2,7
Malick Fofana,1589,31,4,5
Rayan Fofana,25,0,0,0
Seko Fofana,844,24,1,1
Wesley Fofana,1172,3,0,0
Yahia Fofana,2970,0,0,0
Youssouf Fofana,2504,36,6,1
Jonas Föhrenbach,1832,8,1,0
Michael Folorunsho,650,9,0,0
Michael Folorunsho,35,1,0,0
Lamine Fomba,217,1,0,0
Carlos Forbs,239,2,0,0
Pablo Fornals,1827,23,0,2
Omari Forson,223,5,0,0
Fraser Forster,630,0,0,0
Héctor Fort,585,6,0,0
Dimitri Foulquier,2299,13,1,0
Juan Foyth,1517,17,0,1
Fran,90,0,0,0
Matheus França,55,6,0,1
Alejandro Francés,1173,6,0,0
Przemysław Frankowski,1387,14,2,4
Enric Franquesa,616,3,0,1
Ryan Fraser,306,1,0,0
Davide Frattesi,1158,26,1,5
Tyler Fredricson,165,0,0,0
Morten Frendrup,3103,30,0,2
Martin Frese,549,2,0,0
Remo Freuler,3204,17,2,1
Marco Friedl,2161,4,0,0
Marvin Friedrich,989,7,1,0
Jeremie Frimpong,2314,34,5,5
Jorge de Frutos,2495,52,3,6
Darío Fuentes,5,0,0,0
Chris Führich,1981,36,3,2
Shiō Fukuda,60,3,0,1
Angelo Fulgini,1045,26,1,1
Niclas Füllkrug,790,16,2,3
Kyogo Furuhashi,123,1,0,0
Manuel Fuster,1003,18,1,2
Matteo Gabbia,2152,14,0,2
Tommaso Gabellini,10,1,0,0
Tiago Gabriel,96,0,0,0
Alessandro Gabrielloni,142,5,1,1
Gianluca Gaetano,1009,30,4,2
Roberto Gagliardini,180,0,0,0
Cody Gakpo,1935,57,4,10
Javi Galán,1784,9,3,0
Iñigo Ruiz de Galarreta,1477,11,4,0
Conor Gallagher,1633,22,3,3
Antonino Gallo,2609,9,2,0
Gauthier Gallon,45,0,0,0
Cristian Gamboa,226,4,0,1
Idrissa Gana Gueye,3063,27,3,0
Ignatius Ganago,241,7,0,0
Silvère Ganvoula M'Boussy,326,4,0,0
Facundo Garcés,678,5,0,0
Aleix García,1455,15,4,3
Álvaro García,2559,71,5,4
Andrés García,318,2,0,0
Eric García,1566,14,3,2
Fran Garcia,2171,14,2,0
Gonzalo García,56,1,1,0
Joan García,3420,1,0,0
Pablo Garcia,38,0,0,0
Rubén García,2413,27,5,5
Ulisses Garcia,930,8,2,2
Unai García,65,0,0,0
Alejandro Garnacho,2199,84,2,6
James Garner,1594,12,1,0
Yarek Gasiorowski,947,3,0,0
Federico Gatti,2195,25,0,1
Gavi,1085,11,1,1
Paulo Gazzaniga,3195,0,0,0
Jean-Philippe Gbamin,216,2,0,0
Mory Gbane,1125,4,1,0
Yann Gboho,2333,50,4,5
David de Gea,3060,0,1,0
Viggo Gebel,14,0,0,0
Lutsharel Geertruida,1557,8,0,1
Dennis Geiger,734,5,0,0
Valentin Gendrey,180,2,0,0
Valentin Gendrey,1414,10,1,1
Denis Genreau,222,6,0,0
Tyrique George,183,3,1,1
Yannick Gerhardt,1518,15,1,1
Max Geschwill,1282,9,2,1
Daniele Ghilardi,2029,12,0,0
Lautaro Gianetti,878,2,0,1
Dimitris Giannoulis,2650,13,4,1
Morgan Gibbs-White,2803,61,8,7
Samuel Gigot,683,4,0,2
Armin Gigovic,1895,26,1,5
Bryan Gil,1721,32,3,3
Mario Gila,2741,15,0,1
Billy Gilmour,98,1,0,0
Billy Gilmour,1177,9,1,0
Benedikt Gimber,2671,14,0,0
Santiago Giménez,669,22,2,5
Gvidas Gineitis,1430,29,1,3
Matthias Ginter,2561,24,1,2
Jamie Gittens,1776,52,3,8
Serge Gnabry,1242,48,5,7
Ben Godfrey,159,0,0,0
Ben Godfrey,23,0,0,0
Martial Godo,24,0,0,0
Saba Goglichidze,2539,6,1,0
Edoardo Goldaniga,2532,12,0,1
Michael Golding,1,0,0,0
Pierluigi Gollini,630,0,0,0
Aleksandr Golovin,1153,24,0,3
André Gomes,1276,11,0,0
Angel Gomes,736,8,1,1
João Gomes,2974,35,1,3
Rodrigo Gomes,810,7,0,2
Toti Gomes,2614,7,1,0
Carlos Gómez,381,9,0,3
Dani Gómez,532,14,0,2
Diego Gómez,516,9,0,1
Joe Gomez,519,3,0,0
Moi Gómez,796,6,0,0
Sergi Gómez,664,2,0,0
Sergio Gómez,2738,18,5,2
Unai Gómez,1284,19,3,1
Tidiam Gomis,152,5,1,0
Fabio González,53,2,0,0
Nicolás González,760,9,0,1
Nicolás González,1750,45,2,3
Peter González,477,12,0,0
Urko González,1374,4,2,0
Urko González,45,0,0,0
Anthony Gordon,2434,57,5,6
Leon Goretzka,1325,32,1,4
Mathieu Gorgelin,1440,0,0,0
Andoni Gorosabel,1485,2,2,0
Robin Gosens,2434,23,5,5
Robin Gosens,90,1,0,0
Mario Götze,1542,8,2,3
Amine Gouiri,1048,51,3,10
Amine Gouiri,1037,31,2,3
Lucas Gourna-Douath,229,3,0,0
Jeffrey Gouweleeuw,2944,17,4,1
Kamil Grabara,2585,0,0,0
Jonathan Gradit,2112,16,0,0
José Gragera,569,2,0,0
Samuel Grandsir,84,0,0,0
Alberto Grassi,2203,11,0,1
Ryan Gravenberch,3160,20,4,0
Archie Gray,1751,1,0,0
Jack Grealish,721,15,1,1
Jacob Greaves,2205,10,0,1
Mason Greenwood,2804,111,5,21
Michael Gregoritsch,639,16,1,2
Dominik Greif,2790,0,0,0
Antoine Griezmann,2469,48,7,8
Vincenzo Grifo,2432,63,11,8
Florian Grillitsch,623,3,0,0
Florian Grillitsch,601,6,0,0
Álex Grimaldo,2636,44,7,2
Pascal Groß,2327,27,9,0
Brajan Gruda,687,11,4,1
Marco Grüll,1181,25,1,6
Albert Grønbaek,143,2,0,0
Albert Grønbaek,813,22,1,2
Vicente Guaita,3060,0,0,0
Sergi Guardiola,362,11,0,0
Nemanja Gudelj,2493,22,1,1
Gabriel Gudmundsson,1785,18,0,2
Gonçalo Guedes,995,27,4,2
Axel Gueguin,23,0,0,0
Marc Guéhi,3059,15,2,3
Mattéo Guendouzi,3270,27,3,1
Javier Guerra,2581,47,3,3
Raphaël Guerreiro,1572,21,4,4
Evann Guessand,2565,63,8,12
Ander Guevara,1947,12,1,0
Pape Gueye,2224,55,0,4
Morgan Guilavogui,1807,41,2,6
Frederic Guilbert,2435,11,1,0
Luis Guilherme,150,4,0,0
Hugo Guillamón,364,2,0,0
Bruno Guimarães,3271,45,6,5
Carlos Guirao,110,0,0,0
Bahereba Guirassy,348,7,0,2
Serhou Guirassy,2598,86,4,21
Marc Guiu,73,0,0,0
Péter Gulácsi,2631,0,0,0
Arda Güler,1250,39,4,3
Gerard Gumbau,849,13,1,0
Robert Gumny,271,4,0,0
İlkay Gündoğan,2223,27,6,1
Christian Günter,2314,21,2,2
Jon Guridi,2080,23,1,3
Gorka Guruzeta,1840,59,2,7
Malo Gusto,1862,22,1,0
Miguel Gutiérrez,2458,28,5,1
Albert Guðmundsson,1273,25,1,6
Joško Gvardiol,3277,40,0,5
Emmanuel Gyasi,3217,22,1,2
Christian Gytkjær,754,16,1,2
Erling Haaland,2736,104,3,22
Nicolas Haas,287,1,0,0
Janik Haberer,1696,15,0,0
Robin Hack,2172,59,7,4
Saad El Haddad,30,0,0,0
Munir El Haddadi,862,21,0,4
Amadou Haidara,1320,18,1,0
Massadio Haïdara,1678,10,0,0
Antoine Hainaut,1206,6,0,2
Mohamed Haj,453,7,2,1
Achraf Hakimi,2066,32,6,4
Lewis Hall,2189,11,4,0
Sébastien Haller,404,4,0,0
Ali Al Hamadi,134,4,0,0
Andreas Hanche-Olsen,1284,12,1,1
Florent Hanin,2672,11,2,1
Ridgeciano Haps,1369,15,1,1
Amine Harit,519,8,4,2
Marcus Harness,45,0,0,0
Phil Harres,1544,37,1,8
Jack Harrison,2076,29,0,1
Abdou Harroui,463,15,2,1
Taylor Harwood-Bellis,2825,20,0,1
Hans Hateboer,1684,8,0,0
Kjetil Haug,498,0,0,0
Kai Havertz,1875,53,3,9
Ayden Heaven,170,2,0,0
Jan Paul van Hecke,2958,17,1,1
Hwang Hee-chan,661,5,0,2
Dean Henderson,3420,1,0,0
Liam Henderson,2337,22,4,0
Ramon Hendriks,1154,5,1,0
Paul Hennrich,12,0,0,0
Benjamin Henrichs,935,11,2,0
Henrique,352,1,0,0
Luis Henrique,2613,30,7,7
Rico Henry,99,0,0,0
Mads Hermansen,2385,0,0,0
Mario Hermoso,251,1,0,0
Mario Hermoso,293,4,0,0
Javi Hernández,2389,17,1,2
Aridane Hernández,1025,8,0,0
Lucas Hernández,877,3,0,0
Theo Hernández,2696,43,3,4
Hernani,1327,17,3,3
Jorge Herrando,1366,12,0,1
Ander Herrera,273,7,0,0
Sergio Herrera,3330,0,0,0
Yangel Herrera,2257,39,3,4
Juan Herzog,1315,12,0,0
Son Heung-min,2110,55,9,7
Isak Hien,2327,8,0,0
Omar El Hilali,3153,2,2,0
James Hill,448,6,1,0
Piero Hincapié,2670,22,2,2
Roger Hinojo,9,0,0,0
Jack Hinshelwood,1842,18,2,5
George Hirst,661,14,1,3
Adam Hložek,1871,59,4,8
Ki-Jana Hoever,2124,10,2,1
Nicolas Höfler,794,4,0,0
Jonas Hofmann,356,9,1,2
Philipp Hofmann,2277,54,3,3
Lucas Höler,1867,34,4,6
Mason Holgate,6,0,0,0
Benedict Hollerbach,2540,76,1,9
Emil Holm,1137,10,1,1
Lewis Holtby,1238,7,1,0
Gerrit Holtmann,1136,31,1,2
Franck Honorat,1439,31,7,4
Mathias Honsak,1181,29,1,5
Dinko Horkaš,1085,0,0,0
Timo Horn,1170,0,0,0
Cédric Hountondji,270,0,0,0
Ilyes Housni,230,5,0,0
Harry Howell,7,0,0,0
Lukáš Hrádecký,2610,0,0,0
Robin Hranáč,219,0,0,0
Callum Hudson-Odoi,2194,37,2,5
Will Hughes,2108,22,3,0
Dean Huijsen,2427,18,2,3
Mats Hummels,915,8,0,0
Omari Hutchinson,2583,45,2,3
Elseid Hysaj,424,2,3,0
Hong Hyunseok,530,5,1,0
Pierre Højbjerg,2664,33,4,2
Oscar Højlund,722,6,0,1
Rasmus Højlund,2004,32,0,4
Pablo Ibáñez,1294,20,1,1
Hafiz Ibrahim,391,7,1,0
Arijon Ibrahimović,8,2,0,0
Arijon Ibrahimović,1,0,0,0
Stanis Idumbo,284,4,1,1
Jay Idzes,3127,15,0,1
Iglesias,2888,21,1,0
Borja Iglesias,1952,46,3,11
Igor,961,1,0,0
Kelechi Iheanacho,400,9,0,0
Jonathan Ikone,540,16,0,2
Jonathan Ikone,334,9,0,0
George Ilenikhena,717,21,2,3
Andrej Ilic,937,27,0,7
Ivan Ilić,920,11,0,1
Rareş Ilie,13,1,0,0
Samuel Iling-Junior,118,4,0,1
Danny Ings,284,14,2,1
Alessio Iovine,387,1,0,0
Tim Iroegbunam,574,5,1,0
Jackson Irvine,2610,41,6,0
Andy Irving,166,4,0,0
Alexander Isak,2756,95,6,23
Gustav Isaksen,2210,54,2,4
Isco,1547,38,8,9
Ismaily,904,10,1,0
Ardian Ismajli,2508,5,0,0
Yanis Issoufou,77,2,0,0
Ko Itakura,2790,21,0,3
Hiroki Ito,250,1,0,1
Junya Ito,2690,31,3,4
Diego Iturralde,37,1,0,0
Marko Ivezić,1657,7,0,0
Alex Iwobi,2981,68,6,9
Armando Izzo,2435,6,1,1
Fellipe Jack,171,0,0,0
Nicolas Jackson,2220,76,5,10
Jérémy Jacquet,927,8,1,0
Lee Jae-sung,2650,40,6,7
Ivan Jaime Pajuelo,297,8,0,0
Kristijan Jakić,2306,18,1,0
Karl Jakob Hein,2790,0,0,0
Ismail Jakobs,180,0,0,0
Jordan James,1178,17,1,0
Reece James,1063,11,1,1
Vitaly Janelt,2254,14,3,1
Adnan Januzaj,598,16,1,2
Luca Jaquez,253,1,0,0
Vitezslav Jaros,12,0,0,0
Ali Jasim,10,0,0,0
Mikel Jauregizar,2244,21,1,2
Dominik Javorček,386,1,2,0
Gaby Jean,1388,1,0,0
Daniel Jebbison,119,5,0,1
Finn Jeltsch,780,2,0,0
Malcolm Jeng,107,0,0,0
Fredrik Jensen,763,11,0,0
Mathias Jensen,862,6,2,0
Moritz Jenz,1600,10,0,0
Gabriel Jesus,608,20,0,3
Juan Jesus,1074,3,1,0
Alejandro Jiménez,1266,15,1,0
Raúl Jiménez,2494,93,3,12
Kim Jisoo,30,0,0,0
João Pedro,1948,42,6,10
John Joe,48,2,0,0
John Joe,545,8,0,0
Joelinton,2393,45,3,4
Jofre,2165,40,3,3
Þórir Jóhann Helgason,1156,16,4,0
Carl Johansson,568,1,0,0
Ben Johnson,1354,7,2,1
Brennan Johnson,2177,54,3,11
Karl-Johan Johnsson,270,0,0,0
Sam Johnstone,630,0,0,0
Paul Joly,1009,10,1,0
Curtis Jones,1712,34,3,3
Frenkie de Jong,1143,5,2,2
Joan Jordán,1414,13,2,5
Jorginho,704,2,0,0
Jesse Joronen,703,0,0,0
Jota,334,4,0,1
Diogo Jota,1196,51,3,6
Antoine Joujou,943,11,2,0
Luka Jović,557,11,0,2
Juanmi,696,13,0,0
Juanmi,244,6,0,0
Juanpe,727,2,0,0
Jubal,2640,26,0,6
Anthony Jung,1898,1,0,0
Luiz Lúcio Reis Júnior,1458,0,0,0
Hamed Junior Traorè,2093,68,2,10
Vinicius Júnior,2253,78,8,11
Josip Juranović,1159,6,1,0
David Jurásek,619,5,1,0
Stanko Jurić,1729,8,0,0
James Justin,2912,25,2,2
Filip Jørgensen,540,0,0,0
Mohamed Kaba,452,4,0,0
Yusuf Kabadayı,71,4,0,1
Almugera Kabar,137,0,0,0
Christian Kabasele,1161,15,0,2
Issa Kaboré,308,7,0,0
Yaya Kader Fofana,634,13,1,1
Pavel Kadeřábek,1576,14,0,2
Tino Kadewere,512,8,2,1
Ferdi Kadioglu,385,4,0,1
Arnaud Kalimuendo,2578,68,3,17
Pierre Kalulu,2337,7,0,1
Justin-Noël Kalumba,31,1,0,0
Daichi Kamada,1564,20,0,0
Waren Kamanzi,1022,7,1,1
Boubacar Kamara,1726,10,0,1
Glen Kamara,662,1,1,0
Hassane Kamara,2001,17,4,1
Noham Kamara,76,0,0,0
Willy Kambwala,1117,4,0,0
Jakub Kamiński,1130,15,2,0
Kevin Kampl,1593,7,0,1
Nordine Kandil,10,0,0,0
Harry Kane,2381,105,9,26
Lee Kang-in,1663,41,6,6
Yann Karamoh,1046,25,1,0
Atakan Karazor,2618,14,4,2
Jesper Karlsson,298,6,0,1
Jesper Karlsson,495,9,0,1
Jesper Karlström,3186,13,3,0
Lior Kasa,230,5,0,0
Grigoris Kastanos,872,22,1,1
Mikkel Kaufmann,372,3,0,0
Joachim Kayi Sanda,14,0,0,0
Michael Kayode,528,2,1,0
Michael Kayode,127,1,0,0
Moise Kean,2615,98,3,17
Michael Keane,1049,10,0,3
Yassine Kechta,2096,29,0,2
Thilo Kehrer,2383,12,0,4
Abdoulaye Keita,95,2,0,0
Mandela Keita,1826,5,2,0
Yannik Keitel,270,5,0,0
Andu Kelati,288,6,1,1
Caoimhín Kelleher,900,0,0,0
Thomas Keller,148,1,0,0
Lloyd Kelly,303,3,1,0
Lloyd Kelly,1013,7,0,0
Aljoscha Kemlein,922,11,0,1
Marc-Oliver Kempf,2615,20,0,0
Kenedy,9,1,0,0
Luca Kerber,783,7,0,2
Milos Kerkez,3336,19,5,2
Reda Khadra,78,0,0,0
Bilal El Khannouss,2182,30,3,2
Wahbi Khazri,1118,36,1,1
Rani Khedira,2723,14,1,1
Abdukodir Khusanov,503,1,0,0
Abdukodir Khusanov,975,6,0,0
Kialonda,2144,16,1,0
Kiké,2542,60,0,13
Max Kilman,3348,13,1,0
Joshua Kimmich,2847,34,7,3
Presnel Kimpembe,23,0,0,0
Joshua King,130,3,0,0
Joshua King,1673,50,3,6
Tom King,1,0,0,0
Antonín Kinský,540,0,0,0
Cédric Kipré,2190,9,1,0
Jakub Kiwior,1122,3,0,1
Tim Kleindienst,2737,73,7,16
Lukas Klostermann,1838,4,0,1
Justin Kluivert,2340,57,6,12
Ansgar Knauff,1597,30,5,4
Magnus Knudsen,1850,12,1,0
Gregor Kobel,2880,0,0,0
Robin Koch,2586,15,0,3
Hervé Koffi,450,0,0,0
Magnus Kofod Andersen,695,8,1,1
Derrick Köhn,1343,13,2,2
Philipp Köhn,1710,0,0,0
Dominik Kohr,2295,13,0,2
Koka,851,20,1,3
Koke,1926,11,1,1
Sead Kolašinac,1903,10,2,0
Randal Kolo Muani,1160,25,1,8
Randal Kolo Muani,358,15,1,2
Marco Komenda,1307,3,0,0
Mert Kömür,654,13,1,2
Ibrahima Konaté,2560,19,2,1
Ismael Konate,116,3,1,0
Geoffrey Kondogbia,2020,8,0,0
Abdoul Koné,133,0,0,0
Amadou Koné,1293,14,0,0
Ismaël Koné,360,4,0,0
Ismaël Koné,469,6,1,2
Manu Koné,2572,34,1,2
Ezri Konsa,2936,11,0,2
Teun Koopmeiners,1994,42,3,3
Kacper Koscierski,7,0,0,0
Odilon Kossounou,1125,6,0,0
Christian Kouamé,622,11,1,0
Christian Kouamé,507,16,0,1
Henri Koudossou,748,2,0,0
Konstantinos Koulierakis,2468,22,2,0
Emmanuel Koum Mbondo,12,0,0,0
Jules Koundé,2605,18,3,2
Boubakar Kouyaté,756,8,0,0
Mateo Kovačić,2198,45,2,6
Viktor Kovalenko,77,3,0,0
Matej Kovar,450,0,0,0
Mateusz Kowalski,56,1,0,0
Goduine Koyalipou,885,42,0,4
Caleb Kporha,13,0,0,0
Emil Krafth,342,1,0,0
Alex Král,2714,21,1,0
Andrej Kramarić,2767,66,8,11
Frans Krätzig,1217,9,2,1
Frans Krätzig,56,0,0,0
Tom Krauß,1077,11,0,0
Ladislav Krejčí,2440,18,0,2
Rasmus Kristensen,2513,24,3,5
Thomas Kristensen,1754,4,0,1
Nikola Krstović,3057,134,5,11
Lukas Kübler,1842,18,1,5
Takefusa Kubo,2372,43,0,5
Mohammed Kudus,2590,75,3,5
Dejan Kulusevski,2389,47,4,7
Sael Kumbedi,951,4,0,0
Marash Kumbulla,2972,16,0,3
Jonah Kusi-Asare,3,1,0,0
Daler Kuzyaev,567,4,0,1
Khvicha Kvaratskhelia,1178,49,3,5
Khvicha Kvaratskhelia,916,34,3,4
Moritz-Broni Kwarteng,172,6,0,0
Giorgos Kyriakopoulos,2845,27,4,2
Luca de la Torre,4,0,0,0
Rémy Labeau Lascary,637,14,1,2
Gaëtan Laborde,1829,70,4,11
Nediljko Labrović,1350,0,0,0
Alexandre Lacazette,2051,53,2,15
Younes Lachaab,9,1,0,0
Maxence Lacroix,3116,30,1,1
Alban Lafont,1080,0,0,0
Yoel Lago,583,0,1,0
Konrad Laimer,1699,18,2,2
Stefan Lainer,757,4,0,1
Kenny Lala,2686,9,2,3
Adam Lallana,361,3,2,0
Mathis Lambourde,89,2,0,1
Mohamed Lamine Bayo,309,10,1,2
Tariq Lamptey,860,6,2,2
Will Lankshear,11,0,0,0
Gianluca Lapadula,310,15,0,0
Cyle Larin,1764,38,2,7
Gautier Larsonneur,3060,0,0,0
Hugo Larsson,2393,21,1,3
Juanmi Latasa,1398,40,0,3
Toni Lato,621,0,0,0
Roméo Lavia,797,2,1,0
Valentino Lazaro,2307,16,6,0
Darko Lazović,1459,19,3,2
Manuel Lazzari,1406,6,1,0
Julien Le Cardinal,1378,10,1,0
Jérémy Le Douaron,102,2,0,0
Enzo Le Fée,318,4,0,0
Robin Le Normand,2151,11,0,1
Nicola Leali,2610,0,0,0
Rafael Leão,2323,66,8,8
Benjamin Lecomte,2700,0,0,0
Pierre Lees-Melou,1526,22,2,2
Jordan Lefort,3060,9,1,0
Diogo Leite,2546,18,2,1
Maxim Leitsch,674,6,0,1
Florian Lejeune,3325,58,3,2
Stefan Lekovic,367,3,0,0
Iñigo Lekue,773,2,0,0
Nunzio Lella,5,0,0,0
Thomas Lemar,85,2,0,0
Félix Lemaréchal,1779,25,3,4
Mario Lemina,1364,18,3,1
Clément Lenglet,1972,10,1,2
Bernd Leno,3420,0,1,0
Donovan Léon,2880,0,2,0
Giovanni Leoni,1199,2,0,1
Esteban Lepaul,1629,41,0,9
Johann Lepenant,2048,20,1,2
Jefferson Lerma,2274,26,1,0
Louis Leroux,816,9,1,2
Robert Lewandowski,2667,111,2,27
Jamie Leweling,1663,29,2,2
Rico Lewis,1893,10,2,1
Keane Lewis-Potter,3093,28,3,1
Myles Lewis-Skelly,1369,3,0,1
Ben Lhassine Kone,51,1,0,0
Mattia Liberali,61,2,0,0
Philipp Lienhart,2770,8,0,1
Matthijs de Ligt,2123,18,0,2
Pedro Lima,70,1,0,0
Victor Lindelöf,704,0,0,0
Jesper Lindstrøm,1239,28,1,0
Karol Linetty,1540,17,0,1
Samuel Lino,1552,45,4,3
Pol Lirola,680,6,2,1
Dailon Livramento,940,13,1,1
Valentino Livramento,2840,6,1,0
Marin Ljubicic,281,2,1,1
Javier Llabrés,57,1,0,0
Diego Llorente,2519,11,0,2
Marcos Llorente,2513,16,4,2
Gautier Lloris,2768,11,1,2
Giovani Lo Celso,1457,31,3,8
Stanislav Lobotka,2636,7,1,0
Manuel Locatelli,2822,24,2,2
Bradley Locko,97,1,0,0
Ruben Loftus-Cheek,1037,9,0,0
Elysée Logbo,27,1,0,0
Enzo Loiodice,684,7,0,0
Sean Longstaff,798,6,0,0
Ademola Lookman,2247,81,5,15
Anthony Lopes,1563,0,0,0
David López,169,0,0,0
David López,2429,12,1,1
Diego López,2737,44,5,8
Fer López,671,20,0,2
Fermin López,1252,41,5,6
Javi López,1936,5,0,0
Pau López,45,0,0,0
Roberto López,396,6,1,0
Unai López,1707,26,1,3
Iker Losada,358,3,0,1
Iker Losada,336,5,0,0
Anthony Losilla,1137,5,0,0
Jordan Lotomba,35,0,0,0
Tom Louchet,775,12,0,1
Sandi Lovrić,2308,49,3,2
Pol Lozano,1943,8,1,0
Lorenzo Lucca,2353,64,1,12
Jhon Lucumí,2614,13,1,0
Yannik Lührs,127,0,0,0
José Luis Gayà,1803,12,1,0
José Luis Palomino,1081,2,0,1
Douglas Luiz,529,8,0,0
Romelu Lukaku,2843,60,10,14
Castello Lukeba,1577,4,0,0
Dodi Lukebakio,3092,93,2,11
Saša Lukić,2344,18,2,0
Milos Lukovic,12,0,0,0
Joe Lumley,270,0,0,0
Daniel Luna,20,0,0,0
Andriy Lunin,630,0,1,0
Massimo Luongo,201,0,0,0
Sebastiano Luperto,3240,21,3,1
Zito Luvumbo,1606,23,2,2
Charalambos Lykogiannis,1048,6,4,0
Senne Lynen,2733,24,1,0
Mathias Løvik,92,1,0,0
Othmane Maamma,361,10,1,1
Ian Maatsen,1139,19,2,1
Alexis Mac Allister,2599,38,5,5
Deiver Machado,1805,23,4,1
Lanroy Machine,8,1,0,0
Shuto Machino,1953,49,2,11
Darwin Machís,639,14,1,0
Yvann Macon,790,10,0,0
James Maddison,1809,39,7,9
Eros Maddy,15,0,0,0
Noni Madueke,2033,80,3,7
Pablo Maffeo,2368,7,2,0
Gabriel Magalhães,2363,22,1,3
Soungoutou Magassa,1025,8,1,0
Edmond-Paris Maghoma,119,1,0,0
Giangiacomo Magnani,1065,11,0,1
Hugo Magnetti,2323,19,0,1
Frank Magri,1516,44,1,5
Harry Maguire,1758,15,0,1
Jon Magunazelaia,7,0,0,0
Arne Maier,938,18,0,0
