Player,Min,Sh,Ast,Gls
Ezequiel Ávila,677,20,0,2
Taiwo Awoniyi,416,10,0,1
Yasin Ayari,1965,28,1,2
Florian Ayé,575,12,0,2
André Ayew,1453,22,1,4
Jordan Ayew,21,1,0,0
Jordan Ayew,1638,31,0,5
Neil El Aynaoui,1588,16,1,8
Ayman Azhil,24,0,0,0
Adam Aznou,876,4,0,0
Adam Aznou,17,0,0,0
César Azpilicueta,875,5,0,1
Paulo Azzi,426,8,0,0
Oussama El Azzouzi,19,0,0,0
Papa Ba,48,1,0,0
Shavy Babicka,1186,20,2,4
Jacopo Bacci,31,0,0,0
Aliou Badara Baldé,91,4,0,0
Loïc Bade,2686,13,1,1
Milan Badelj,1472,14,0,1
Benoît Badiashile,334,0,0,0
Alex Baena,2595,69,9,7
Juma Bah,864,3,0,0
Juma Bah,686,2,0,0
Leon Bailey,1139,28,2,1
Eric Bailly,617,4,0,0
Theo Bair,939,26,1,2
Stefan Bajcetic,969,5,0,1
Cédric Bakambu,710,24,2,2
Mitchel Bakker,22,0,0,0
Mitchel Bakker,1139,23,2,3
Darryl Bakola,14,0,0,0
Ridle Baku,1170,18,1,2
Ridle Baku,1275,17,3,2
Dilane Bakwa,2497,52,8,6
Tommaso Baldanzi,832,20,1,1
Alejandro Balde,2284,12,4,0
Keita Baldé,638,14,0,2
Carlos Baleba,2661,44,1,3
Leonardo Balerdi,2273,15,0,0
Iván Balliu,1200,1,0,0
Fodé Ballo-Touré,589,0,0,0
Botond Balogh,2053,3,1,0
Folarin Balogun,615,31,0,4
Mario Balotelli,62,2,0,0
Abdoulaye Bamba,1510,1,0,0
Jonathan Bamba,811,13,1,0
Mohamed Bamba,10,0,0,0
Samuel Bamba,27,2,0,0
Lameck Banda,610,17,1,0
Daniel Bandeira,407,2,0,0
Mattia Bani,1507,8,0,0
Noahkai Banks,278,1,0,0
Scott Banks,116,3,0,0
Adrian Baquerin,49,3,0,0
Antonín Barák,54,2,0,0
Federico Barba,431,2,0,0
Valentín Barco,288,7,0,0
Valentín Barco,1157,10,2,0
Bradley Barcola,2181,74,10,14
Melvin Bard,1938,23,1,2
Nicolò Barella,2456,42,6,3
Gabriel Bares,56,0,0,0
Borna Barišić,9,0,0,0
Téo Barisic,2,0,0,0
Kike Barja,315,4,1,0
Ross Barkley,581,16,1,3
Aymen Barkok,73,0,0,0
Harvey Barnes,1755,63,4,9
Enzo Barrenechea,2191,16,2,1
Ander Barrenetxea,1263,25,3,1
Pablo Barrios,2330,29,4,1
Thierno Barry,2323,71,4,11
Davide Bartesaghi,118,1,0,0
Marc Bartra,2099,18,1,2
Federico Baschirotto,3420,22,0,2
Daniele Baselli,22,0,0,0
Calvin Bassey,3074,14,0,1
Aboubacar Bassinga,4,0,0,0
Alessandro Bastoni,2333,12,5,1
Augusto Batalla,2880,0,0,0
Michy Batshuayi,300,5,0,3
Dylan Batubinsika,2016,7,0,1
Maximilian Bauer,658,1,0,0
Oliver Baumann,2520,0,0,0
Christoph Baumgartner,1610,39,1,2
Rafael Bauza,183,3,0,0
Altay Bayındır,360,0,0,0
Ihlas Bebou,9,0,0,0
Adrian Beck,1598,39,1,4
Sheraldo Becker,995,22,1,2
Timo Becker,2445,17,2,0
Jan Bednarek,2531,5,0,2
Donny van de Beek,1421,18,2,2
Hannes Behrens,29,0,0,0
Kevin Behrens,170,9,0,1
Maximilian Beier,1591,42,5,8
Luken Beitia,8,0,0,0
Ismael Bekhoucha,69,0,0,0
Reda Belahyane,1658,6,2,0
Reda Belahyane,198,0,0,0
Haris Belkebla,1792,3,1,0
Yassin Belkhdim,1523,9,1,1
Stefan Bell,1436,12,1,0
Armel Bella Kotchap,331,1,0,0
Raoul Bellanova,87,1,0,0
Raoul Bellanova,2402,18,9,0
Jean-Ricner Bellegarde,1677,22,7,2
Héctor Bellerín,580,1,2,0
Jude Bellingham,2488,60,8,9
Jeanuël Belocian,68,0,0,0
Andrea Belotti,593,19,0,2
Fran Beltrán,2421,23,1,2
Lucas Beltrán,1864,26,4,5
Eliesse Ben Seghir,1750,58,3,6
Carlos Benavídez,487,5,1,1
Adrian Benedyczak,214,3,0,0
László Bénes,589,19,1,2
Iker Benito,37,0,0,0
Ismaël Bennacer,300,3,0,0
Ismaël Bennacer,646,3,2,0
Saïd Benrahma,735,17,3,1
Ramy Bensebaini,2022,20,6,1
Nabil Bentaleb,329,5,0,1
Rodrigo Bentancur,1645,22,0,2
Daniel Bentley,180,0,0,0
Lucas Beraldo,2011,12,0,1
Yuri Berchiche,2044,16,2,0
Álex Berenguer,2339,51,7,6
Sander Berge,2224,3,0,0
Lucas Bergvall,1212,12,1,0
Medon Berisha,716,24,1,0
Mergim Berisha,333,11,1,1
Mergim Berisha,40,3,0,0
Adrian Bernabe,1453,27,1,1
Marc Bernal,242,2,0,0
Bernardo,1782,8,0,0
Juan Bernat,212,2,1,0
Juan Bernat,699,4,1,0
Maxime Bernauer,763,2,0,0
Antoine Bernede,594,4,0,1
Alexander Bernhardsson,1263,27,2,7
Victor Bernth Kristiansen,2482,3,1,0
Matúš Bero,2565,31,2,5
Juan Berrocal,1063,4,0,0
Dimitry Bertaud,360,0,0,0
Jan-Niklas Beste,212,6,1,0
Beto,1534,49,0,8
Sam Beukema,3012,15,1,0
Alessandro Bianco,2600,26,0,1
Alessandro Bianco,18,0,0,0
Mika Biereth,1228,40,2,13
Jaka Bijol,2963,19,0,1
El Bilal Touré,356,14,1,2
Philip Billing,184,5,0,0
Philip Billing,197,6,0,1
Cristiano Biraghi,1158,10,0,0
Cristiano Biraghi,433,5,0,1
Samuele Birindelli,1468,16,0,3
Tom Bischof,2559,51,2,5
Yves Bissouma,1408,11,0,2
Leonardo Bittencourt,982,27,1,2
Emmanuel Biumla,1336,4,0,1
Marco Bizot,2880,0,0,0
Bjarki Bjarkason,165,0,0,0
Antonio Blanco,2727,25,1,0
Ludovic Blas,2293,57,8,6
Daley Blind,2780,10,2,0
Myron Boadu,1042,27,1,9
Augustine Boakye,733,24,0,3
Oscar Bobb,16,0,0,0
Mathéo Bodmer,6,0,0,0
Sacha Boey,593,3,2,0
Jeremie Boga,1054,30,2,1
Lamare Bogarde,476,1,0,0
Emil Bohinen,166,2,0,0
Adama Boiro,1101,5,0,0
Willy Boly,150,1,0,0
Moïse Bombito,2192,8,0,0
Warren Bondo,1618,13,0,0
Warren Bondo,162,1,0,0
Victor Boniface,1008,50,1,8
Kevin Bonifazi,65,0,0,0
Ange-Yoan Bonny,2529,61,4,6
Sebastiaan Bornauw,788,8,1,2
Sven Botman,412,5,0,0
Saïmon Bouabré,97,0,0,0
Ayyoub Bouaddi,1151,3,1,0
Badredine Bouanani,1099,30,3,3
Benjamin Bouchouari,1772,16,0,1
Hicham Boudaoui,2435,39,3,2
Carlo Boukhalfa,1646,21,0,2
Justin Bourgault,122,2,0,1
Benjamin Bourigeaud,80,2,0,1
Edoardo Bove,836,7,2,1
Jarrod Bowen,2973,86,8,13
Enzo Boyomo,2987,12,0,2
Enzo Boyomo,270,2,0,0
Domagoj Bradarić,1933,9,0,1
Conor Bradley,754,10,2,0
Bilal Brahimi,76,1,0,0
Julian Brandt,2303,45,10,5
Jarrad Branthwaite,2511,10,1,0
Darko Brašanac,1617,12,2,1
Lilian Brassier,779,5,0,0
Lilian Brassier,1234,14,1,1
Matthias Braunöder,268,2,0,0
Iker Bravo,682,13,1,2
James Bree,1075,4,1,0
Tim Breithaupt,120,1,1,0
Gleison Bremer,540,3,0,0
Brenner,386,7,2,1
Ben Brereton,449,11,0,0
Marco Brescianini,991,20,2,4
Maximilian Breunig,350,10,0,2
Anthony Briançon,1,0,0,0
Nathan Broadhead,702,13,0,2
Armando Broja,334,4,0,0
David Brooks,960,25,0,2
Arvid Brorsson,362,0,0,0
Moritz Broschinski,1390,38,3,1
Nathaniel Brown,1947,13,6,3
Jacob Bruun Larsen,400,14,2,2
Jacob Bruun Larsen,414,6,0,1
Tajon Buchanan,95,0,0,0
Tajon Buchanan,416,7,2,1
Ante Budimir,2952,91,4,21
Emi Buendía,98,5,0,0
Emi Buendía,257,7,0,2
Manu Bueno,140,4,0,1
Santiago Bueno,1687,6,0,0
Endika Buján,7,0,0,0
Marius Bülter,1729,37,2,7
Facundo Buonanotte,1523,36,2,5
Alessandro Buongiorno,1924,8,0,1
Cameron Burgess,1541,10,2,0
Jonathan Burkardt,2109,70,2,18
Oliver Burke,908,35,0,5
Dan Burn,3330,23,1,1
Rareș-Cătălin Burnete,28,1,0,0
Wes Burns,926,7,1,0
Marnon Busch,1396,13,1,0
Gianluca Busio,2518,36,0,2
Aurélio Buta,1970,8,1,0
Jean Butez,1666,0,0,0
Nathan Butler-Oyedeji,7,1,0,0
Marcin Bułka,3060,0,0,0
Pau Cabanes,163,4,0,1
Pau Cabanes,188,2,0,0
Rémy Cabella,1011,30,2,1
Leandro Cabrera,2869,19,2,4
Liberato Cacace,2230,29,4,2
Alessio Cacciamani,31,0,0,0
Anthony Caci,2684,32,7,1
Mathieu Cafaro,732,23,0,1
Moisés Caicedo,3351,20,2,1
Tom Cairney,628,11,0,2
Jens Cajuste,1959,12,1,1
Davide Calabria,632,3,1,0
Davide Calabria,316,2,0,0
Riccardo Calafiori,983,10,1,2
Luca Caldirola,876,4,0,0
Fernando Calero,715,2,0,1
Duje Ćaleta-Car,1584,11,0,1
Hakan Çalhanoğlu,1879,41,6,5
Dominic Calvert-Lewin,1609,50,1,3
Drissa Camara,447,15,0,0
Issiaga Camara,20,0,0,0
Lamine Camara,2054,26,7,2
Mahdi Camara,2659,49,3,5
Ousmane Camara,252,1,0,0
Francesco Camarda,206,8,0,0
Eduardo Camavinga,1102,8,2,1
Nicolò Cambiaghi,620,14,3,1
Andrea Cambiaso,2221,17,3,2
Axel Camblan,26,1,0,0
Sergio Camello,1134,32,2,3
José Campaña,1189,5,3,0
Thomas Campaniello,25,1,0,0
Cole Campbell,22,0,0,0
Emre Can,2105,7,0,3
Peio Canales,259,3,0,0
Matteo Cancellieri,1424,22,0,3
Fali Candé,1530,5,1,1
Antonio Candela,1008,5,1,0
Antonio Candela,906,1,0,0
Sergi Canós,370,11,1,0
Jaydee Canvot,1106,5,0,0
Pierrick Capelle,483,6,0,0
Gianluca Caprari,1651,28,2,3
Elia Caprile,1620,0,0,0
Elia Caprile,325,0,0,0
Gabin Capuano,11,0,0,0
Francesco Caputo,6,0,0,0
Maxence Caqueret,1087,8,3,2
Maxence Caqueret,573,7,0,0
Simon Cara,9,0,0,0
Andrea Carboni,2191,8,1,0
Franco Carboni,226,1,0,0
Valentin Carboni,103,2,0,0
Dani Cárdenas,540,0,0,0
Irvin Cardona,606,10,1,1
Irvin Cardona,1063,23,3,5
Marc Cardona,132,4,0,0
Sergi Cardona,2945,20,7,1
Johnny Cardoso,2144,19,1,3
Tiago Cardoso,380,0,0,0
Patrik Carlgren,417,0,0,0
Diego Carlos,830,4,0,0
José Carlos González,11,0,0,0
Carmona,2942,19,0,0
Marco Carnesecchi,3060,0,0,0
Sergio Carreira,1656,13,4,0
Dani Carvajal,609,3,0,1
Fabio Carvalho,455,12,1,2
William Carvalho,484,4,0,0
Cesare Casadei,1017,14,1,1
Marc Casado,1611,14,3,1
Nicolò Casale,900,4,1,0
Nicolò Casale,135,1,0,0
Casemiro,1494,32,0,1
Kaelan Casey,1,0,0,0
Matty Cash,2070,13,1,1
Eiran Cashin,20,0,0,0
Josué Casimir,1997,27,4,4
Federico Cassa,14,0,0,0
Cristian Cásseres Jr.,2696,17,3,1
Timothy Castagne,1649,8,1,0
Valentín Castellanos,2384,105,3,10
Jean-Charles Castelletto,2620,17,0,0
Santiago Castro,2294,62,4,8
Gaetano Castrovilli,596,6,0,0
Gaetano Castrovilli,148,2,0,0
Danilo Cataldi,1712,13,0,3
Catena,3074,20,3,1
Maximiliano Caufriez,90,0,0,0
Enzo Caumont,34,0,0,0
Dani Ceballos,1215,7,0,0
Abdoulie Ceesay,60,0,0,0
Zeki Çelik,2256,13,2,0
Fabien Centonze,265,0,0,0
Alberto Cerri,87,4,0,0
